EBD,DMF,EI,LSI,AGE,HSAA,HFA,SRH,PHL,DV,UWHF,MUF,SD,ST,EPK,GEN,LSC,EDU,PAI,PSM,Y
2,5,2,2,48,3,3,3,2,2,3,2,2,3,3,2,170,6,4,2,2
2,2,3,2,81,1,1,3,4,2,4,3,3,3,-1,2,100,1,0,-1,2
2,2,2,2,84,3,3,3,2,2,3,2,2,3,4,2,80,1,0,0,2
1,5,1,1,39,3,4,5,1,1,4,2,3,3,2,2,120,6,20,3,1
2,5,2,2,66,3,3,3,2,2,3,2,2,3,0,2,70,3,0,-1,2
2,3,2,3,64,4,4,5,2,2,2,1,2,3,0,2,120,6,0,0,2
2,5,2,2,29,3,3,3,2,2,3,2,2,3,1,1,130,3,12,0,2
2,4,2,2,51,3,3,3,2,2,3,2,2,3,0,1,90,4,0,1,2
2,4,2,2,77,3,3,3,2,2,3,2,2,3,-1,1,40,4,1,1,2
2,3,3,2,39,3,4,3,2,4,4,3,2,1,2,2,100,6,0,3,2
1,5,2,1,70,1,1,5,1,1,3,1,1,1,-1,1,20,4,1,2,1
2,5,2,2,84,3,3,3,2,2,3,2,2,3,0,2,80,7,7,0,2
1,4,2,2,38,4,3,5,1,2,4,3,3,4,1,2,120,9,12,1,2
2,4,2,2,27,3,3,3,2,2,3,2,2,3,2,2,120,12,1,0,2
2,5,2,2,76,3,3,3,2,2,3,2,2,3,0,1,60,3,2,0,2
2,2,2,2,62,3,3,3,2,2,3,2,2,3,5,1,85,6,8,0,2
3,2,3,2,32,3,3,3,1,3,3,3,2,3,1,2,130,6,4,0,3
2,5,2,2,60,3,3,3,2,2,3,2,2,3,0,1,119,3,0,0,2
1,5,2,2,82,4,4,2,2,2,3,2,2,2,0,2,119,1,1000,0,1
2,5,2,2,38,3,3,3,2,2,3,2,2,3,3,1,198,6,5,1,2
1,5,1,2,60,3,4,5,2,1,2,2,1,3,0,1,65,4,3,-2,3
2,4,2,2,87,2,2,3,2,2,1,3,4,3,0,2,35,5,5,0,2
2,2,2,2,72,3,3,3,2,2,3,2,2,3,1,2,90,1,0,0,2
2,5,2,2,28,3,3,3,2,2,3,2,2,3,1,2,119,4,0,2,2
2,4,1,3,84,3,3,1,5,4,1,4,4,4,0,2,119,1,0,-2,2
2,5,1,1,84,3,3,1,5,3,1,2,3,4,-1,2,119,1,0,-2,2
2,4,2,2,45,3,3,3,2,2,3,2,2,3,0,2,119,4,0,2,2
2,3,2,2,68,3,3,3,2,2,3,2,2,3,0,1,70,6,0,3,2
2,2,2,2,33,3,3,3,2,2,3,2,2,3,1,1,90,12,2,1,2
2,1,2,2,68,3,3,3,2,2,3,2,2,3,-1,1,203,4,4,-1,2
2,5,2,2,47,3,3,3,2,2,3,2,2,3,1,1,207,4,6,1,2
2,5,2,2,36,3,3,3,2,2,3,2,2,3,2,1,123,7,9,0,2
2,5,2,2,58,3,3,3,2,2,3,2,2,3,0,1,120,7,4,-1,2
2,3,4,4,63,3,3,2,4,3,1,1,1,3,0,2,119,4,4,1,3
2,5,1,4,51,2,4,2,3,1,2,1,2,4,0,2,119,4,0,2,2
2,4,2,2,39,3,3,3,2,2,3,2,2,3,1,2,100,5,0,0,2
2,5,2,2,45,3,3,3,2,2,3,2,2,3,2,1,150,11,10,1,2
2,5,2,2,31,3,3,3,2,2,3,2,2,3,0,1,85,12,20,0,2
